"Number","Line 1","Line 2","Line 3"
368,"The %s hurls a ball of slime at you for %d damage!","The %s hurls a ball of slime at %s for %s damage!",
369,"The %s hurls a ball of slime at you!","The %s %shurls a ball of slime at %s!","The %s hurls a ball of slime at you, but you dodge!"
370,"The %s %shurls a ball of slime at %s, %sbut %s dodges!","The %s hurls a ball of slime at you!","The %s %shurls a ball of slime at %s!"
371,"A %s swoops in from %s!","The %s swoops out to %s!",
372,"The %s swoops down and rips you for %d damage!","The %s swoops down and rips %s for %s damage!","The winged horror utters a shrill cry, and falls to its death!"
373,"Acid sears %s for %d damage!","Acid sears you for %d damage!","Acid sears %s for %s damage!"
374,"The %s swoops down and bites you for %d damage!","The %s swoops down and bites %s for %s damage!","The winged horror utters a shrill cry, and plunges to its death!"
375,"The %s swoops towards you!","The %s %sswoops towards %s!","The %s swoops towards you, but you dodge!"
376,"The %s %sswoops towards %s, %sbut %s dodges!","The %s swoops towards you!","The %s %sswoops towards %s!"
377,"A %s slithers in from %s!","The %s slithers out to %s!",
378,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The serpent hisses, and dies."
379,"A %s scuttles in from %s!","The %s scuttles out to %s!",
380,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The giant ant collapses, its shell cracked and oozing!"
381,,"The %s spits thick webbing at you!","The %s spits %s at %s!"
382,"You are freed from the webbing!",,"You are trapped in webbing!"
383,"A %s scuttles in from %s!","The %s scuttles out to %s!",
384,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The spider screeches madly, and dies!"
385,,"The %s spits venom in your eyes!","The %s %s venom in %s's eyes!"
386,"A %s slithers in from %s!","The %s slithers out to %s!",
387,"The %s skewers you for %d damage!","The %s skewers %s for %s damage!","The serpentkin hunter eyes you evilly, and dies."
388,"You are no longer dizzy and weak!",,"You feel dizzy and weak!"
389,,"The %s casts %s on you for %d damage!","The %s casts %s on %s for %s damage!"
390,"The %s cleaves you for %d damage!","The %s cleaves %s for %s damage!","The dark warrior dies with a moan!"
391,"The %s all-out cleaves you for %d damage!","The %s all-out cleaves %s for %s damage!",
392,"A %s strides in from %s!","The %s strides out to %s!",
393,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The dark warlock tries to cast one last spell, but dies."
394,,"The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
395,,"The %s throws a fireball!",
396,,"The %s stalks out to %s!",
397,"The %s slices you for %d damage!","The %s slices %s for %s damage!","The dark assassin spits up blood and dies!"
398,"The %s all-out slices you for %d damage!","The %s all-out slices %s for %s damage!",
399,"The %s critically slices you for %d damage!","The %s critically slices %s for %s damage!",
400,"A %s creeps in from %s!","The %s creeps out to %s!",
401,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The dark mage tries to cast one last spell, but dies!"
402,"A %s strides in from %s!","The %s strides out to %s!",
403,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The elite guard clutches at you, spits up blood, and dies!"
404,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",
405,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The guard captain growls at you menacingly, and collapses!"
406,"A %s shambles in from %s!","The %s shambles out to %s!",
407,"The %s hits you with a twisted fist for %d damage!","The %s hits %s with a twisted fist for %s damage!","The mutant sighs softy, and dies!"
408,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The giant rattlesnake rattles on last time, then is still."
409,,"%s explodes violently!",
410,"A %s runs in from %s!","The %s runs out to %s!",
411,"The %s rips you for %d damage!","The %s rips %s for %s damage!","The obsidian demon's broken shards evaporate in a puff of smoke!"
412,"A %s stomps in from %s!","The %s stomps out to %s!",
413,"The %s smashes you with its fist for %d damage!","The %s smashes %s with its fist for %s damage!","The magma man pulsates, and dissolves into a puddle!"
414,,"You take %d fire damage!","%s takes %s fire damage!"
415,,"The %s hurls a %s at you for %d damage!","The %s hurls a %s at %s for %s damage!"
416,"A %s moves in from %s!","The %s moves in from %s!",
417,"The %s sears you with its burning arm for %d damage!","The %s sears %s with its burning arm for %s damage!","The flame elemental utters an eerie wail, and dissipates!"
418,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The fire bat explodes in flame!"
419,,"The %s %s on you for %d damage!","The %s %s on %s for %s damage!"
420,"A %s stalks in from %s!","The %s stalks out to %s!",
421,"The %s savagely rips you for %d damage!","The %s savagely rips %s for %s damage!","The greater hellhound collapses with a wail!"
422,"A %s rolls in from %s!","The %s rolls out to %s!",
423,"The %s touches you with a pseudopod for %d damage!","The %s touches %s with a pseudopod for %s damage!","The pyro jelly quivers, and dissolves!"
424,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The serpentkin warrior hisses loudly, and dies!"
425,"The %s all-out slashes you for %d damage!","The %s all-out slashes %s for %s damage!",
426,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The serpentkin shaman tries one last spell, but dies!"
427,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The serpentkin chieftain hisses loudly, and dies!"
428,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The serpentkin witchdoctor hisses evilly, and dies!"
429,"A %s crawls in from %s!","The %s crawls out to %s!",
430,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The glowing worm curls up and dies!"
431,"The %s lashes you with its tail for %d damage!","The %s lashes %s with its tail for %s damage!",
432,"A %s scuttles in from %s!","The %s scuttles out to %s!",
433,"The %s bites you for %d damage!","The %s bites %s for %s damage!","The crystal spider shatters into a thousand shards!"
434,"A %s slides in from %s!","The %s slides out to %s!",
435,"The %s whaps you with a pseudopod for %d damage!","The %s whaps %s with a pseudopod for %s damage!","The glittering ooze solidifies and breaks into pieces!"
436,"go waterfall","enter waterfall","pass waterfall"
437,"You walk through the waterfall!","%s walks through the waterfall!","%s in through the waterfall!"
438,"go stairs","go path","go steps"
439,"You follow the hidden path, and arrive at the stair landing!","%s follows a hidden path!","%s walks in off of the path!"
440,"You eat the yellow fungus, and feel better!",,"%s eats some yellow fungus!"
441,"You can move again.",,"You are paralyzed!"
442,"You are paralyzed!",,"You are paralyzed!"
443,"You eat the red fungus.",,"%s eats some red fungus."
444,"You give Dhelvanen a greater hellhound hide.","%s gives Dhelvanen a greater hellhound hide.",
445,"Dhelvanen gives a magma amulet to you.","Dhelvanen gives %s a magma amulet.",
446,"The heat is too intense!",,
447,"As you walk into the heat, your magma amulet glows!","%s disappears into the shimmering heat!","%s enters through the heat!"
448,,,
449,"The %s whacks you for %d damage!","The %s whacks %s for %s damage!","The wounded worker lets out a loud cry, and dies!"
450,"push brick","move brick",
451,"You push a brick in the wall. It moves in slightly!","%s pushes on the wall.",
452,,"The %s casts %s, and a wave of energy sweeps the room!",
453,,"The %s brings %s upon you for %d damage!","The %s brings %s upon %s for %s damage!"
454,,"The %s casts %s, and a dark force sweeps through the room!",
455,"A dark bishop strides in from %s!","The dark bishop strides out to %s!",
456,"The %s smashes you for %d damage!","The %s smashes %s for %s damage!","The dark bishop utters an agonized howl, and is consumed in black flame!"
457,"The %s all-out smashes you for %d damage!","The %s all-out smashes %s for %s damage!",
458,"An alchemist walks into the room!","An alchemist walks off to %s.",
459,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The alchemist spits up blood, and dies!"
460,,"The %s fires a %s at you for %d damage!","The %s fires a %s at %s for %s damage!"
461,,"The %s casts %s, and a brown tingling mist fills the room!",
462,,"%s casts %s, and a grey mist rolls through the room!",
463,,"%s casts %s on the room for %d damage!",
464,"A dark wizard strides in from %s!","The dark wizard strides out to %s!",
465,"The %s smacks you for %d damage!","The %s smacks %s for %s damage!","The dark wizard utters a loud cry, and disintegrates!"
466,"The %s hits you for %d damage!","The %s hits %s for %s damage!","The prisoner moans softly, and dies."
467,"You do not have the cross key.",,
468,"You put the cross key into one of the slots.","%s puts a cross key into one of the slots.",
469,"You do not have the runed key.",,
470,"You put the runed key into one of the slots.","%s puts a runed key into one of the slots.",
471,"You do not have the skull key.",,
472,"You put the skull key into one of the slots.","%s puts a skull key into one of the slots.",
473,"The slots snap shut, and the device begins to hum loudly!","The slots snap shut, and the device begins to hum loudly!",
474,"A drawer slides out, and you take the large black key inside!","A drawer slides out, and %s takes the large black key inside!",
475,,,"As the Champion of Blood dies, his body explodes into a tower of flame!"
476,"The %s slashes you for %d damage!","The %s slashes %s for %s damage!","The master assassin eyes you evilly, and vanishes through a wall!"
477,"The %s surprise slashes you for %d damage!","The %s surprise slashes %s for %s damage!",
478,,,"The massive chest crumbles into shards, revealing its contents."
479,,"A burning rain of blood pours down on the room for %d damage!",
480,,"The %s clutches at the sky!",
481,,"A whirling vortex of pulsing energy swirls throughout the room!",
482,"You writhe in agony!","%s writhes in agony!","You are in agony!"
483,"The intense pain fades away.",,"You are in agony!"
484,,"The %s makes a sweeping gesture!",
485,"The Champion of Blood appears in a blinding flash!","The Champion of Blood charges out to %s!",
486,"The %s chops you for %d damage!","The %s chops %s for %s damage!","A greater hellion bursts forth from the vortex of flames!"
487,"The %s critically chops you for %d damage!","The %s critically chops %s for %s damage!",
488,"The %s all-out chops you for %d damage!","The %s all-out chops %s for %s damage!",
489,,"A searing storm of fire sweeps through the room for %d damage!",
490,,"The %s raises its arms in the air!",
491,,"You are consumed in a blazing inferno!","%s is consumed in a blazing inferno!"
492,,"The greater hellion points at you with a bony claw!","The %s points at %s with a bony claw!"
493,"The flames enveloping you die down.",,"You are engulfed in flames!"
494,"As the Champion of Blood falls, a tower of fire whirls about his body!","The greater hellion stomps out to %s!",
495,"The %s rips you with its claws for %d damage!","The %s rips %s with its claws for %s damage!","The hellish creature roars in fury, and explodes in a shower of flame!"
496,"The %s swings at you with its huge claws!","The %s %sswings at %s with its huge claws!","The %s swings at you with its huge claws, but you dodge!"
